transaction_hash,block_number,from_address,to_address,value,token_name,token_symbol,timestamp,gas,gas_price,nonce,input_data
0x0092d0fb72b3999c5f56552c0ed49faa1a32ed3a53c0540b9bf885c5de66081f,20660138,0xc37362927fe05aba72c533e23f97781ebb0877b7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1284118470000000000000,Metis Token,Metis,2024-09-02 03:16:35,100000,1628404037,1189,deprecated
0xd7e5cb2a306145ab7aac7c5b341e1ce9600b7aef989b068f1228b325409aa228,20662319,0xc37362927fe05aba72c533e23f97781ebb0877b7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,163821523500000000000,Metis Token,Metis,2024-09-02 10:34:11,100000,6961411774,1210,deprecated
0xb9a42bcc506f97aa378830b3cd47347620b04e9f90503e0a75bf395938d99e1e,20667180,0xc37362927fe05aba72c533e23f97781ebb0877b7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,465594798000000000000,Metis Token,Metis,2024-09-03 02:51:11,100000,2828687241,1213,deprecated
0x05a65dd1af23ce3ff632c249d49d87845b3d4bb19852ad7125ba480e3381cc31,20674115,0x2c0b78e6836fe4147259f6b4525ab96b570e609d,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,105564583030000000000,Metis Token,Metis,2024-09-04 02:05:11,100000,4031193528,0,deprecated
0x43e3e0de974db6814b39b5994c419a391c16a594d6c54a59bba02ebf797f4e4f,20681598,0xc37362927fe05aba72c533e23f97781ebb0877b7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,486427075500000000000,Metis Token,Metis,2024-09-05 03:08:11,100000,12628477610,1223,deprecated
0x60f8c8bb3b1ee290da18646e706c121b83321dddf140aa3cb4aa1405297c68f5,20702266,0x474826931cd801bc6530df8d30a46f8586e9b247,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,7496626000000000000,Metis Token,Metis,2024-09-08 00:19:11,100000,3052985878,2,deprecated
0xa364b41f7d7372e150c019643df6ed47de6cdcc0f8580a8dc04d464d5b1240f4,20727876,0x4d453aa0611c51728a5e8ee72dc6570b8244feca,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,17133372940579000000,Metis Token,Metis,2024-09-11 14:10:11,100000,10565520239,1419,deprecated
0x8031a97b591f81d6dbfb4211043e0565c094ab4d9dc452dec5d3894561c78c2d,20730273,0x667d07633a22f242f322c11ded046afe85dbd8de,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,56303508070000000000,Metis Token,Metis,2024-09-11 22:12:11,100000,7424063016,16,deprecated
0x8a73eb90d8159a5e634f96664756b4e6896c6d8c14b568e82d5d67f917ba5a06,20733380,0x8ef8aa4ed835fd9a0d08cdf661952e1d6c866a7e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,50512568580000000000,Metis Token,Metis,2024-09-12 08:36:11,100000,7629935701,2,deprecated
0x85a07728d4d9264146ea09dfe3b15b9fd3d8df857823b629b403e83004db71e5,20756967,0xd8b81f29c130fc9940020a610f617cd364fde984,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,246513000000000000000,Metis Token,Metis,2024-09-15 15:39:11,100000,2762409269,2,deprecated
0x7b23058361681ffcbe9d2682c1ced50178267532eec51650b7b1cd47a659e16f,20774112,0x0e205ccf48f62918ac184f5e75031ff055bf7b2d,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,69074762270000000000,Metis Token,Metis,2024-09-18 01:10:35,100000,7851981457,3,deprecated
0x7f3ee472b8a28b6de1e44ddf38315d7b76de41361db9b0fe4f96d208ea891ef4,20797218,0x674cc3e26087fcc3d6190c0906bdda367870719e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,15978479000000000000,Metis Token,Metis,2024-09-21 06:39:11,100000,7509798986,2,deprecated
0x25bf1c37c69112a0f643b616a044c12be21d0a8b5b33cb564adaaf13c6cca2e0,20820320,0x515923d3ec7a15bfc9764e2d5129a6a85cda879d,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,16716000000000000000,Metis Token,Metis,2024-09-24 12:01:11,100000,19209218057,0,deprecated
0x8d9c9481e3e07fa5a357b848c11b2a542eb1afba16e4dffa12e266dc59737869,20829637,0x588414bb56aa27cd899e47312c5119ae436ff757,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,5889870000000000000,Metis Token,Metis,2024-09-25 19:15:11,100000,28484617128,5,deprecated
0x111135178fd063d8404137fc5f03e946208378aa8d991b906a6dc234b473316e,20873961,0x92cb7d770a04da7f7e325d87239278c814976bea,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,140203998766613000000,Metis Token,Metis,2024-10-01 23:35:11,100000,7249048386,0,deprecated
0x8b98b4d0b07766d2d2ff0bab28bfd645b1be20d39e5f18b403b1ae3cbe3e1503,20940423,0xc37362927fe05aba72c533e23f97781ebb0877b7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,2176002700000000000000,Metis Token,Metis,2024-10-11 05:54:35,100000,10781067155,1499,deprecated
0x5861915f8ad93e43ada01769d21b472e2847075b847b1248add3cf86733e675e,20957155,0x341a6115e9dc5e7e7a7ea32f2d95a0dbbce19f96,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,14047900000000000000,Metis Token,Metis,2024-10-13 14:09:35,100000,12833608515,0,deprecated
0xdcb0fe0fe656981996905962be4dd0eb5c94c6680fdcf9f4374e022af531fd36,20964948,0x30bdce36a7a158ee736536ac9c324ca6c1556b35,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,686491621000000000000,Metis Token,Metis,2024-10-14 16:18:35,100000,32008134774,1655,deprecated
0x4cd480c2f9e34bd29d18897c50281b7a8c590f9f128aa5d6580da380586713b0,20982638,0x7c2d737041f869d3c0a069f3826c6b5655a38231,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,12000000000000000000,Metis Token,Metis,2024-10-17 03:36:35,100000,9890267961,11,deprecated
0xc93911bd3af630613a2f96e7fd7874988bb1cf05e6bbdee4217b76b6b37edf83,20985866,0xf596dbe4ed72424936319f821a86818d72313280,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,4514609230000000000,Metis Token,Metis,2024-10-17 14:24:47,100000,24960765197,3,deprecated
0xd85cb718ccc3533fd6f112a683a24eebb9bac371d85502721794860f5a8ea388,21034572,0x30bdce36a7a158ee736536ac9c324ca6c1556b35,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,453940455000000000000,Metis Token,Metis,2024-10-24 09:30:35,100000,9056360488,1717,deprecated
0xb2610616e2669673a01f3004d3499e55814119d7aeaef366a9528aca90826a14,21046816,0x2d14fdbd535a63f3e13d09cad3a5cfcb824c7166,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,9890506938049000000,Metis Token,Metis,2024-10-26 02:29:11,100000,5479710630,0,deprecated
0x8821603d36a63865d44e74cdef72000fc4345b9e584ce3c2a83cb4e49bd5e265,21063127,0x30bdce36a7a158ee736536ac9c324ca6c1556b35,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1147165536000000000000,Metis Token,Metis,2024-10-28 09:06:35,100000,7291100642,1738,deprecated
0xd09ef5b81351521aba952bc826eac6334fb1135677e50189021787fd6beca9ca,21070620,0xed17a81dd9bf6a3943b8135004c6bcfc074ba4c6,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,3024319260000000000,Metis Token,Metis,2024-10-29 10:13:11,100000,9352680801,2,deprecated
0x07861256248a055c56c6a39b3c7dece70cb6f63c96c03e9d8f31ee92910001b8,21087520,0x6c6faab4f71e801f618981b91cdfb4bf93d17c80,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,49180275650000000000,Metis Token,Metis,2024-10-31 18:49:11,100000,18866256892,3,deprecated
0x3a6f349fbcd11d3f16a929c02817667e10913fbad896b35e1ba02d4d59e96b55,21107338,0x05b88a940d63ee7490bafc8aacc8462aa014a41b,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,89265536723163000000,Metis Token,Metis,2024-11-03 13:13:11,100000,7588932608,2,deprecated
0xf885073042a78e7bea097ae25c10655196987c3700cb9c71d8129054ab9a88d2,21138533,0x22c6a32804db7413af63d5f77400a6f30d61a616,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,3018115700000000000,Metis Token,Metis,2024-11-07 21:44:11,100000,20113352949,0,deprecated
0x1a212aae90c5d27559fe761b5e4ca07a24679227be7046b33f00cd70c2a2fe71,21191163,0xb04b5e2a27074dcb5b4ee140f8eafdc21bdf2e14,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,9830000000000000000,Metis Token,Metis,2024-11-15 05:59:35,100000,15108370209,0,deprecated
0x69c4010488a1b5bac4c26710060350b4427b6e32a9db62bb0e982f3668dfbdd0,21191748,0xb04b5e2a27074dcb5b4ee140f8eafdc21bdf2e14,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,970247818420000000000,Metis Token,Metis,2024-11-15 07:57:35,100000,13917295636,1,deprecated
0x8ffc1b48f09ddb6335082851b4cd6b212fb08121dff13f8226c132a8e1cdcdbc,21196085,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,246730548790000000000,Metis Token,Metis,2024-11-15 22:30:35,100000,23469069181,1,deprecated
0x1ddf1c6aab3c1f5a1c630b92fdab755a42861e45791bc68c4f1c252660d1acca,21208985,0xcd23079e498e52f54dbcd0304ece17e5f0671c70,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,4481342630000000000,Metis Token,Metis,2024-11-17 17:41:23,100000,13377428868,0,deprecated
0x2d8d3e638a6b6fc3cf6b42ef72a574f7630e22787b8c67b8c7370e06740457fb,21218605,0x19b13006945550ae162f1efb1f96f4cd7e6edbc8,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,16391821789998000000,Metis Token,Metis,2024-11-19 01:51:35,100000,11098845079,7,deprecated
0x47039f085e7be6a84c24bf27838f0c83ead840d43ab27049d892602c82cd796d,21219473,0x467682525ccc39785dd0c1c8890f15029f413ce6,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,9450057407846000000,Metis Token,Metis,2024-11-19 04:45:35,100000,8480801149,1,deprecated
0x8f1dd710e05ca1a0b6fefb9a3ce621f35507d4401a663e9f447cb191fd4cf6cb,21231179,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,90451343380000000000,Metis Token,Metis,2024-11-20 19:57:35,100000,15197657322,2,deprecated
0x026b0c89deeb8563a3221a5a7bcb4b08aa2efe8db2f565398f50e1e41835b8bc,21238836,0x8eb568b3462aabae45119020f436f94fb0b0666c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,5188697311650000000,Metis Token,Metis,2024-11-21 21:36:35,100000,14716138096,3,deprecated
0x698d8ae5a952a6815cc943e65833d45dece6be02d8fdc3b88425c4e2698e282c,21245930,0x212dbb488695c9c6688a2436f22e26e3e918283c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,5839255690000000000,Metis Token,Metis,2024-11-22 21:23:11,100000,14835726773,0,deprecated
0xb70cd7d45e2722588a6562d79a7d9822f8dc35921c1a0664b553264aa25b1871,21251915,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,194168281710000000000,Metis Token,Metis,2024-11-23 17:24:35,100000,20222957951,3,deprecated
0x71703e99660357a20d86d37d1098e81b1a68e6c2a25373c9db8da38401997902,21311138,0xbeb332fbcd73ee4406ebf83e99c20d0e1988790c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,6781612270000000000,Metis Token,Metis,2024-12-02 00:06:35,100000,13772123999,3,deprecated
0xf44b142155ae4abae7050a5262815258e493b01fabda1f0481dc8a1fb04519ef,21311288,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,578866000000000000000,Metis Token,Metis,2024-12-02 00:36:35,100000,12481293550,278,deprecated
0xdcaa875d1ce77ef36798d2a4b3438ac1cdd54bb6893c6d7e96be863b0cfb59a4,21331942,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,78350315280000000000,Metis Token,Metis,2024-12-04 21:52:11,100000,32822553567,4,deprecated
0xf19dd1321536a3abe362f64c0dc1afab5002061efff3771448cfc75d39682813,21346326,0xb049ab96ec2db0c1b1565d858eaf3995e490da78,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,5000000000000000000,Metis Token,Metis,2024-12-06 22:05:11,100000,22381410586,0,deprecated
0x801b57fd27d2a6665cfb3d83fe41e8da1aa3361cdee77181f5af2733dafd6637,21355142,0x8acaa31c64e6fc43e59575c708d6c6c87c594541,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,26889096400000000000,Metis Token,Metis,2024-12-08 03:39:35,100000,9444344026,8,deprecated
0x27c0da2b3c6c3d73f4adb71b992edb9bef9beafbd1f314967bb87ea4aff4da73,21361115,0xcf7252ed552fb87cdbf7d58b0ac55a7daf5aff89,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,10572300000000000000,Metis Token,Metis,2024-12-08 23:39:35,100000,10016993627,10,deprecated
0xac8612ee9b6667c88952134c733cf639869ec03b7c90d4ff822c31ac65c0f6b1,21364375,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,86757557490000000000,Metis Token,Metis,2024-12-09 10:33:35,100000,10141627752,5,deprecated
0xffd62af0ccdab160a2389f1cb62abfeeb16d299a437b1fbb382a91a1b9567bfb,21367620,0xff9296525b42d6c2e219e8f6d6d4ba67b01b54c7,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,144619730440000000000,Metis Token,Metis,2024-12-09 21:26:11,100000,117083740093,6,deprecated
0x26873e6e8e6f27f8dfa0f205b6bd3a6f3b973659f66952b4d6d46706d061caa1,21378165,0x6c6faab4f71e801f618981b91cdfb4bf93d17c80,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,5687665030000000000,Metis Token,Metis,2024-12-11 08:45:59,100000,14164388026,4,deprecated
0x7db0295a51a298e549237ca7c36379da19892e9bf9628d62e05f82d06be17f1a,21381852,0xaf2e3926ac5591786a03e2d4a41d36bbee6f18c1,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,6920729810000000000,Metis Token,Metis,2024-12-11 21:09:35,100000,25583398671,11,deprecated
0x52d0f9c661a5aa3b23574cf13b7e054e66dead8ec89712d6e7842520024f9ac3,21386011,0x83398c68585cc1db21351e3f271b77ab63ca40cb,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,38397565200000000000,Metis Token,Metis,2024-12-12 11:05:11,100000,18202295735,0,deprecated
0xa307c719fa1e21e7650a1034e06fae0eabb4455a71b1064b0025d2e1bdc05a8a,21386996,0x91e6d9603c56441a82a8db9c3c17a487a3de228b,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,6796889350000000000,Metis Token,Metis,2024-12-12 14:23:11,100000,24705086358,0,deprecated
0x6d38f1c37c4cfe3dd00a66d7f87927acd6601152732cdd8f43e1363757c624fe,21387421,0x1a3c63448fbb2f897838c5e2c2f92842468d1e39,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,58640818016398000000,Metis Token,Metis,2024-12-12 15:48:35,100000,31243752041,21,deprecated
0xf1f49ac45b67bbba2643afcc25a22901fc42a442a428fe6e19a0203a8a6ab532,21389185,0x8b2f02e2c7b7d0d5634a97193911b4e492a9d25e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,51008810000000000000,Metis Token,Metis,2024-12-12 21:42:35,100000,21329888854,8,deprecated
0x71739be9302f4eb6ad1dd45e2034efb543766a00b11f905bd9af8a7d96ec1055,21394737,0xdcd21b96b7ce5eee4831825849ad0f44b838bcc1,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,8917236820000000000,Metis Token,Metis,2024-12-13 16:18:47,100000,28655147458,2,deprecated
0x08bb030540ee00280a69f884595f7a46d9911bc7311f247df0a11e3d6f721405,21402325,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,104067425790000000000,Metis Token,Metis,2024-12-14 17:44:47,100000,10489003497,877,deprecated
0xd361fe54334c7e0f653f7b733d2be7f417666338c4e98ee8a64cb01d57dd1b30,21402404,0xd4c28eddd286cd68239ad111541a3ed10fcb33b1,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,18697370419003000000,Metis Token,Metis,2024-12-14 18:00:35,100000,11770510433,0,deprecated
0xfb84aff135a78ecefe184d94a5582de1726cc8899869341a8b77e7aea57321ba,21409895,0xc56f4deb0a44f170f9e1371b7e4a82732083672a,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,11413158280000000000,Metis Token,Metis,2024-12-15 19:06:35,100000,9748755652,1,deprecated
0xd65c3c105ed177363f0125d511dcc4fea65a8504d5c8e16b292d2b33da08c016,21410396,0x5ca490449abca912695fbe271ae29a0ce9a7e47c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,299961327000000000000,Metis Token,Metis,2024-12-15 20:47:11,100000,8838985910,0,deprecated
0x2078e607dc1322033c90bfac6e7bb503bfaf6c8cbe0bfa29545b9820fd803e47,21416175,0xaf9cd316984d8c14daf1450a8ec574ee84ef3e69,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,9100000000000000000,Metis Token,Metis,2024-12-16 16:08:11,100000,35532237886,0,deprecated
0xbf8286c1c3f4ede2f4aea036d22577e4bfecedeee21bbc9d9e76d23a34fac667,21416769,0x059338aff1c1fed6a0527b137392adde10d9fa5e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,134484007000000000000,Metis Token,Metis,2024-12-16 18:07:11,100000,23608867937,2,deprecated
0xbd5e7fe89574aa233ed62fddd08ff3d2dc8fa0baeb83ec917a3efd39ce69c220,21416769,0xc261a42565ef172c8e23e650b2f37747067f0bb5,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,84943228030000000000,Metis Token,Metis,2024-12-16 18:07:11,100000,23608867937,7,deprecated
0x93ad22a9060ce6759eaacda9da99152560b3c3f47b5570e170f121e8dc84baa3,21417229,0x00b5ef5641c7e0ecb328a6f329f52ea5d88f182c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,99001167800000000000,Metis Token,Metis,2024-12-16 19:39:35,100000,29739118751,16,deprecated
0x4d4690d4bf47ba8e82d1736b4dde3207e84eae31b890548b755e9eb06ddcc319,21429517,0x2e2767bad22b5171c8d483a45000eae2763e4ea3,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,120520000000000000000,Metis Token,Metis,2024-12-18 12:48:35,100000,17211946858,7,deprecated
0xccfa4e3c7fdaa454b553c1c9630dc5f84b50721cc5852712093846aedd34fde1,21438544,0x900129461b8956690c6d2554a06a3ed9b41542ab,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,349912839660000000000,Metis Token,Metis,2024-12-19 19:05:59,100000,47221650072,1,deprecated
0x86372d7acdf07d6c6af1182c718113e4e8705da099c4324a1c35aaafccd254f4,21476848,0x0d0b0f0e77ebf53bf3285a6c7eae459755752f8f,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,430994651420000000000,Metis Token,Metis,2024-12-25 03:37:47,100000,3296950037,3,deprecated
0x68177f683b6e6205c42204598b583228285ab912aa952b6026aafa2bc5294378,21501705,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,193776603890000000000,Metis Token,Metis,2024-12-28 14:57:35,100000,5029160973,1429,deprecated
0x9441745bebbfcf023e28803bec00683adadf700dde6434cc59d30386f9a4ee7e,21503345,0xa53e9d2659a398f28d23d3fa91ca3f421734cdb3,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,33861612220000000000,Metis Token,Metis,2024-12-28 20:27:35,100000,4084254760,16,deprecated
0x884e910d640cf16f200f5025a5ff849756c4e620e628660847a97e194e41b0a3,21503420,0x271af837acc574da896d125b6ed26372f4ca7a3e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,149693013770000000000,Metis Token,Metis,2024-12-28 20:42:35,100000,4265744488,29,deprecated
0x2f6446340054fe6f82d11ec5ec408af1c347f27e7bb5d3e760fc184c6ca0a1d4,21510888,0x05da1949364bc33fea5640eef728fbdfd083fcce,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,26341826530000000000,Metis Token,Metis,2024-12-29 21:42:47,100000,5442786317,15,deprecated
