"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","43.31","42.32","43.63","41.56","9.06K","2.34%"
"12/31/2024","42.32","43.67","45.02","42.20","16.58K","-3.27%"
"12/30/2024","43.75","43.63","45.19","42.12","9.71K","-0.16%"
"12/29/2024","43.82","45.86","46.21","43.38","10.42K","-4.45%"
"12/28/2024","45.86","45.06","46.35","44.43","10.11K","1.84%"
"12/27/2024","45.03","43.71","46.73","43.58","44.01K","3.11%"
"12/26/2024","43.67","46.59","46.97","43.07","23.30K","-6.23%"
"12/25/2024","46.57","47.45","47.95","45.75","53.78K","-1.81%"
"12/24/2024","47.43","45.98","47.87","45.07","29.82K","2.95%"
"12/23/2024","46.07","42.73","47.09","41.62","63.62K","7.79%"
"12/22/2024","42.74","43.66","44.72","41.84","52.45K","-2.02%"
"12/21/2024","43.62","45.66","48.35","42.96","67.83K","-4.63%"
"12/20/2024","45.74","42.88","45.95","37.20","151.38K","6.55%"
"12/19/2024","42.93","49.23","49.61","41.49","113.54K","-12.74%"
"12/18/2024","49.20","54.52","55.22","49.01","80.10K","-9.56%"
"12/17/2024","54.40","57.22","57.72","53.98","51.70K","-4.99%"
"12/16/2024","57.26","56.22","59.42","54.08","64.50K","2.29%"
"12/15/2024","55.98","53.05","56.32","51.53","62.09K","5.17%"
"12/14/2024","53.23","55.89","56.77","52.13","39.35K","-4.91%"
"12/13/2024","55.98","57.09","57.87","54.99","69.06K","-1.98%"
"12/12/2024","57.11","55.45","58.66","54.76","107.25K","2.96%"
"12/11/2024","55.47","51.14","56.28","49.32","91.82K","8.47%"
"12/10/2024","51.14","51.93","54.18","46.80","228.18K","-2.35%"
"12/09/2024","52.37","66.16","66.16","49.07","124.21K","-20.97%"
"12/08/2024","66.27","66.67","66.71","64.10","70.10K","-0.45%"
"12/07/2024","66.57","67.36","67.47","65.70","51.63K","-1.45%"
"12/06/2024","67.55","63.81","69.48","63.18","88.55K","5.94%"
"12/05/2024","63.76","66.17","67.57","63.06","104.45K","-3.66%"
"12/04/2024","66.18","66.40","69.52","65.43","135.63K","-0.45%"
"12/03/2024","66.48","61.82","66.48","59.17","95.01K","7.52%"
"12/02/2024","61.83","61.16","62.32","56.63","99.85K","1.03%"
"12/01/2024","61.20","62.54","62.65","60.13","62.67K","-3.33%"
"11/30/2024","63.31","57.10","63.31","56.63","84.84K","11.42%"
"11/29/2024","56.82","58.05","58.56","56.28","46.19K","-2.57%"
"11/28/2024","58.32","60.25","61.47","56.86","66.74K","-4.53%"
"11/27/2024","61.09","52.03","61.10","51.59","62.75K","17.03%"
"11/26/2024","52.20","57.27","59.88","49.63","101.78K","-8.84%"
"11/25/2024","57.26","57.81","60.94","55.04","105.88K","-1.80%"
"11/24/2024","58.31","58.68","60.34","52.27","106.88K","-0.65%"
"11/23/2024","58.69","50.07","59.14","49.59","113.00K","16.89%"
"11/22/2024","50.21","48.67","50.21","47.23","78.22K","3.31%"
"11/21/2024","48.60","42.16","53.48","41.01","398.32K","15.06%"
"11/20/2024","42.24","44.41","45.16","41.40","10.37K","-5.12%"
"11/19/2024","44.52","46.90","47.87","43.37","29.23K","-5.26%"
"11/18/2024","46.99","44.27","47.12","43.97","53.02K","6.10%"
"11/17/2024","44.29","47.46","48.85","43.60","77.38K","-6.24%"
"11/16/2024","47.24","43.22","47.76","42.81","72.96K","9.38%"
"11/15/2024","43.19","42.47","43.46","40.67","84.11K","1.48%"
"11/14/2024","42.56","46.04","46.81","41.76","112.55K","-7.82%"
"11/13/2024","46.17","50.17","50.64","44.59","107.72K","-7.90%"
"11/12/2024","50.13","52.22","55.37","48.01","131.16K","-4.31%"
"11/11/2024","52.39","50.99","53.12","49.59","65.82K","2.60%"
"11/10/2024","51.06","50.10","53.28","48.28","90.20K","1.98%"
"11/09/2024","50.07","46.37","50.51","44.89","16.54K","7.98%"
"11/08/2024","46.37","45.11","48.28","44.45","12.26K","3.09%"
"11/07/2024","44.98","44.22","46.55","43.49","13.35K","2.02%"
"11/06/2024","44.09","37.26","44.34","37.14","22.07K","18.52%"
"11/05/2024","37.20","35.81","37.95","35.54","7.97K","4.09%"
"11/04/2024","35.74","36.80","37.62","34.64","8.17K","-2.88%"
"11/03/2024","36.80","38.53","38.98","35.11","9.12K","-4.39%"
"11/02/2024","38.49","40.95","41.25","38.19","19.56K","-5.98%"
"11/01/2024","40.94","41.18","42.17","39.77","46.08K","-0.56%"
"10/31/2024","41.17","44.88","45.02","40.58","52.86K","-8.12%"
"10/30/2024","44.81","45.66","46.42","44.21","69.66K","-1.78%"
"10/29/2024","45.62","40.37","46.63","40.23","77.44K","13.26%"
"10/28/2024","40.28","39.28","41.07","37.99","20.96K","2.60%"
"10/27/2024","39.26","38.25","39.69","37.84","22.75K","2.80%"
"10/26/2024","38.19","38.08","39.40","37.47","50.18K","-0.08%"
"10/25/2024","38.22","43.62","44.46","36.91","97.67K","-12.18%"
"10/24/2024","43.52","42.78","45.80","42.67","46.50K","1.75%"
"10/23/2024","42.77","46.05","46.10","41.20","66.85K","-6.98%"
"10/22/2024","45.98","44.68","46.13","43.10","80.65K","3.28%"
"10/21/2024","44.52","45.66","46.32","43.88","30.34K","-2.65%"
"10/20/2024","45.73","44.00","46.12","43.31","64.94K","3.93%"
"10/19/2024","44.00","45.68","47.90","43.17","60.43K","-3.87%"
"10/18/2024","45.77","43.42","47.90","42.43","67.21K","5.15%"
"10/17/2024","43.53","43.29","44.75","40.74","67.74K","0.69%"
"10/16/2024","43.23","44.12","45.93","42.60","100.45K","-2.06%"
"10/15/2024","44.14","39.13","45.14","38.16","34.20K","13.01%"
"10/14/2024","39.06","33.76","39.45","33.52","11.88K","15.70%"
"10/13/2024","33.76","34.47","34.56","32.96","4.25K","-2.06%"
"10/12/2024","34.47","33.93","35.14","33.76","2.47K","1.65%"
"10/11/2024","33.91","31.59","34.83","31.43","8.44K","7.34%"
"10/10/2024","31.59","31.47","31.89","30.15","4.02K","0.06%"
"10/09/2024","31.57","33.61","34.08","31.06","3.30K","-5.93%"
"10/08/2024","33.56","35.27","35.81","32.98","5.11K","-4.74%"
"10/07/2024","35.23","35.81","36.91","35.18","3.80K","-1.62%"
"10/06/2024","35.81","34.30","36.17","33.91","3.92K","4.40%"
"10/05/2024","34.30","34.61","34.84","33.72","2.22K","-0.90%"
"10/04/2024","34.61","32.73","35.51","32.65","3.22K","5.71%"
"10/03/2024","32.74","32.92","33.55","31.45","4.61K","-0.55%"
"10/02/2024","32.92","34.15","35.09","32.23","6.85K","-3.57%"
"10/01/2024","34.14","38.19","39.77","33.43","13.90K","-10.32%"
"09/30/2024","38.07","40.82","41.11","37.71","10.19K","-6.62%"
"09/29/2024","40.77","40.42","41.88","39.58","2.32K","0.87%"
"09/28/2024","40.42","41.60","42.50","39.35","4.75K","-2.91%"
"09/27/2024","41.63","40.35","42.84","39.82","5.09K","3.17%"
"09/26/2024","40.35","39.47","41.07","38.93","7.29K","2.23%"
"09/25/2024","39.47","40.72","42.11","39.28","9.15K","-3.19%"
"09/24/2024","40.77","37.15","40.88","36.36","8.39K","10.04%"
"09/23/2024","37.05","36.22","38.22","35.52","7.03K","2.32%"
"09/22/2024","36.21","37.23","37.70","35.24","3.86K","-2.74%"
"09/21/2024","37.23","37.19","37.40","35.94","5.44K","0.03%"
"09/20/2024","37.22","33.98","38.79","33.65","16.72K","9.54%"
"09/19/2024","33.98","32.60","34.99","32.60","9.46K","4.49%"
"09/18/2024","32.52","31.37","32.52","30.35","4.29K","3.67%"
"09/17/2024","31.37","29.69","32.49","29.38","8.43K","5.48%"
"09/16/2024","29.74","30.53","30.56","29.24","4.70K","-2.59%"
"09/15/2024","30.53","32.53","32.68","30.24","4.08K","-6.12%"
"09/14/2024","32.52","33.19","33.30","32.21","2.04K","-1.99%"
"09/13/2024","33.18","30.61","33.66","30.11","6.74K","8.40%"
"09/12/2024","30.61","29.61","30.70","29.61","2.62K","3.38%"
"09/11/2024","29.61","30.52","30.52","28.92","3.41K","-2.98%"
"09/10/2024","30.52","30.39","30.97","29.90","5.82K","0.43%"
"09/09/2024","30.39","29.13","30.70","29.04","6.83K","4.33%"
"09/08/2024","29.13","28.26","29.58","28.08","4.84K","3.08%"
"09/07/2024","28.26","27.73","28.74","27.40","2.93K","1.91%"
"09/06/2024","27.73","29.56","30.41","26.83","5.74K","-6.19%"
"09/05/2024","29.56","30.75","30.91","29.37","2.96K","-3.87%"
"09/04/2024","30.75","30.45","31.41","29.11","3.91K","1.05%"
"09/03/2024","30.43","31.84","32.23","30.43","2.49K","-4.43%"
"09/02/2024","31.84","30.22","31.98","30.04","5.20K","5.36%"
"09/01/2024","30.22","31.43","31.49","30.00","5.50K","-3.85%"